symbol,timeframe,entry_price,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,entry_time_utc,exit_time_utc,hold_minutes,exit_reason,fills_json
ETH/USDT,15m,4587.12,4616.15036835,19.82253315,0.4322,0.3965,2025-09-17 23:00:00+00:00,2025-09-18 02:00:00+00:00,180.0,TRAIL,"[{""ts"": 1758150000000, ""price"": 4587.12, ""qty"": 0.9997697679981565, ""tag"": ""ENTRY""}, {""ts"": 1758159000000, ""price"": 4613.219920884689, ""qty"": 0.3999079071992626, ""tag"": ""TP1""}, {""ts"": 1758160800000, ""price"": 4618.104, ""qty"": 0.5998618607988939, ""tag"": ""TRAIL""}]"
BNB/USDT,15m,986.05,990.71907297,34.91945296,0.273,0.6984,2025-09-20 02:45:00+00:00,2025-09-20 04:30:00+00:00,105.0,TP3,"[{""ts"": 1758336300000, ""price"": 986.05, ""qty"": 12.970100829693193, ""tag"": ""ENTRY""}, {""ts"": 1758336300000, ""price"": 988.507406824433, ""qty"": 5.188040331877278, ""tag"": ""TP1""}, {""ts"": 1758338100000, ""price"": 990.9648136488661, ""qty"": 3.8910302489079576, ""tag"": ""TP2""}, {""ts"": 1758342600000, ""price"": 993.422220473299, ""qty"": 3.8910302489079576, ""tag"": ""TP3""}]"
