symbol,timeframe,entry_ts,entry_price,entry_qty,exit_ts,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,fills_json
ETH/USDT,15m,1758151800000,4588.28000000,1.99953954,1758160800000,4616.52270569,38.06703969,0.4149,0.3807,"[{""ts"": 1758151800000, ""price"": 4588.28, ""qty"": 1.999539535996313, ""tag"": ""ENTRY""}, {""ts"": 1758159000000, ""price"": 4614.941411375064, ""qty"": 0.9997697679981565, ""tag"": ""TP1""}, {""ts"": 1758160800000, ""price"": 4618.104, ""qty"": 0.9997697679981565, ""tag"": ""TRAIL""}]"
SOL/USDT,15m,1758146400000,240.26000000,32.92410211,1758150900000,243.36556677,86.32506002,1.0913,0.8633,"[{""ts"": 1758146400000, ""price"": 240.26, ""qty"": 32.92410210614426, ""tag"": ""ENTRY""}, {""ts"": 1758146400000, ""price"": 242.28255161275774, ""qty"": 16.46205105307213, ""tag"": ""TP1""}, {""ts"": 1758149100000, ""price"": 244.3051032255155, ""qty"": 9.877230631843277, ""tag"": ""TP2""}, {""ts"": 1758150900000, ""price"": 244.6638, ""qty"": 6.584820421228853, ""tag"": ""TRAIL""}]"
