symbol,timeframe,entry_ts,entry_price,entry_qty,exit_ts,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,fills_json
ETH/USDT,15m,1758150000000,4587.12000000,0.99976977,1758160800000,4616.15036835,19.82253315,0.4322,0.3965,"[{""ts"": 1758150000000, ""price"": 4587.12, ""qty"": 0.9997697679981565, ""tag"": ""ENTRY""}, {""ts"": 1758159000000, ""price"": 4613.219920884689, ""qty"": 0.3999079071992626, ""tag"": ""TP1""}, {""ts"": 1758160800000, ""price"": 4618.104, ""qty"": 0.5998618607988939, ""tag"": ""TRAIL""}]"
SOL/USDT,15m,1758144600000,238.78000000,14.96550096,1758150900000,242.75145101,52.22839449,1.4616,1.0446,"[{""ts"": 1758144600000, ""price"": 238.78, ""qty"": 14.9655009573383, ""tag"": ""ENTRY""}, {""ts"": 1758146400000, ""price"": 240.87023737337586, ""qty"": 5.98620038293532, ""tag"": ""TP1""}, {""ts"": 1758146400000, ""price"": 242.96047474675171, ""qty"": 4.489650287201489, ""tag"": ""TP2""}, {""ts"": 1758150000000, ""price"": 245.05071212012757, ""qty"": 4.489650287201489, ""tag"": ""TP3""}, {""ts"": 1758150900000, ""price"": 244.6638, ""qty"": 1.7763568394002505e-15, ""tag"": ""TRAIL""}]"
SOL/USDT,15m,1758427200000,241.78000000,51.88040332,1758429000000,240.83070882,-74.28764747,-0.5922,-1.4858,"[{""ts"": 1758427200000, ""price"": 241.78, ""qty"": 51.88040331877277, ""tag"": ""ENTRY""}, {""ts"": 1758429000000, ""price"": 240.8307088207155, ""qty"": 51.88040331877277, ""tag"": ""SL""}]"
BNB/USDT,15m,1758336300000,986.05000000,12.97010083,1758342600000,990.71907297,34.91945296,0.2730,0.6984,"[{""ts"": 1758336300000, ""price"": 986.05, ""qty"": 12.970100829693193, ""tag"": ""ENTRY""}, {""ts"": 1758336300000, ""price"": 988.507406824433, ""qty"": 5.188040331877278, ""tag"": ""TP1""}, {""ts"": 1758338100000, ""price"": 990.9648136488661, ""qty"": 3.8910302489079576, ""tag"": ""TP2""}, {""ts"": 1758342600000, ""price"": 993.422220473299, ""qty"": 3.8910302489079576, ""tag"": ""TP3""}]"
LINK/USDT,15m,1758150900000,24.11000000,171.99375089,1758175200000,23.82056982,-58.02394037,-1.3993,-1.1605,"[{""ts"": 1758150900000, ""price"": 24.11, ""qty"": 171.99375088822268, ""tag"": ""ENTRY""}, {""ts"": 1758175200000, ""price"": 23.820569822272443, ""qty"": 171.99375088822268, ""tag"": ""SL""}]"
