score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,2,187.24045169031686,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,0.8,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,170.94901981576538,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,0.8,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,200.72820629746514,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,1.0,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,184.42324608328875,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,1.0,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,536.9736969429083,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,9.9,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,536.9736969429083,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.2,9.9,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,176.4892810016986,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,0.8,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,163.4859473010287,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,0.8,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,189.9770356088469,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,1.0,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,176.96017356855205,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,1.0,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,328.4838229735651,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,9.9,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,328.4838229735651,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.3,0.3,9.9,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,168.4065804726153,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,0.8,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,155.40324677194533,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,0.8,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,181.89433507976358,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,1.0,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,168.87747303946873,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,1.0,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,320.401122444478,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,9.9,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,320.401122444478,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.2,9.9,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,157.65540978399707,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,0.8,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,147.9401742572124,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,0.8,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,171.14316439114535,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,1.0,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,161.41440052473575,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,1.0,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,111.91124847513865,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,9.9,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,111.91124847513865,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.3,0.4,0.3,9.9,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,158.86045843673455,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.4,0.3,0.2,0.8,0.3,ETH/USDT;BNB/USDT
-1000000000.0,2,147.24501552560943,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.4,0.3,0.2,0.8,0.4,ETH/USDT;BNB/USDT
-1000000000.0,2,170.4213909571493,inf,100.0,0.0,15m,50,150,0.12,1.2,1.0,2.0,3.0,0.4,0.3,0.2,1.0,0.3,ETH/USDT;BNB/USDT
