symbol,timeframe,entry_ts,entry_price,entry_qty,exit_ts,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,fills_json
SOL/USDT,5m,1758351600000,239.14000000,410.05472623,1758351900000,239.47664895,-58.21452555,-0.0594,-0.5821,"[{""ts"": 1758351600000, ""price"": 239.14, ""qty"": 410.0547262310694, ""tag"": ""ENTRY""}, {""ts"": 1758351600000, ""price"": 239.33501790183956, ""qty"": 205.0273631155347, ""tag"": ""TP1""}, {""ts"": 1758351900000, ""price"": 239.61828, ""qty"": 205.0273631155347, ""tag"": ""SL""}]"
SOL/USDT,5m,1758382200000,240.83000000,241.44341545,1758382500000,240.41752286,-215.78393569,-0.3711,-2.1578,"[{""ts"": 1758382200000, ""price"": 240.83, ""qty"": 241.4434154450579, ""tag"": ""ENTRY""}, {""ts"": 1758382500000, ""price"": 240.4175228574211, ""qty"": 241.4434154450579, ""tag"": ""SL""}]"
LINK/USDT,5m,1758387900000,23.45000000,1769.77660715,1758388200000,23.39351855,-182.86211773,-0.4406,-1.8286,"[{""ts"": 1758387900000, ""price"": 23.45, ""qty"": 1769.7766071509732, ""tag"": ""ENTRY""}, {""ts"": 1758388200000, ""price"": 23.393518546915164, ""qty"": 1769.7766071509732, ""tag"": ""SL""}]"
LINK/USDT,5m,1758404100000,23.42000000,3080.25172045,1758404400000,23.45640511,-32.25423130,-0.0447,-0.3225,"[{""ts"": 1758404100000, ""price"": 23.42, ""qty"": 3080.2517204527153, ""tag"": ""ENTRY""}, {""ts"": 1758404100000, ""price"": 23.445970215760454, ""qty"": 1540.1258602263576, ""tag"": ""TP1""}, {""ts"": 1758404400000, ""price"": 23.46684, ""qty"": 1540.1258602263576, ""tag"": ""SL""}]"
LINK/USDT,5m,1758413700000,23.37000000,3417.39856168,1758414000000,23.34074048,-259.62066240,-0.3251,-2.5962,"[{""ts"": 1758413700000, ""price"": 23.37, ""qty"": 3417.39856168247, ""tag"": ""ENTRY""}, {""ts"": 1758414000000, ""price"": 23.340740478973963, ""qty"": 3417.39856168247, ""tag"": ""SL""}]"
LINK/USDT,5m,1758416100000,23.42000000,2618.99575216,1758416700000,23.38182873,-222.54419709,-0.3628,-2.2254,"[{""ts"": 1758416100000, ""price"": 23.42, ""qty"": 2618.9957521615725, ""tag"": ""ENTRY""}, {""ts"": 1758416700000, ""price"": 23.38182872523437, ""qty"": 2618.9957521615725, ""tag"": ""SL""}]"
LINK/USDT,5m,1758423000000,23.38000000,2180.21623995,1758423900000,23.33414691,-201.81659044,-0.3959,-2.0182,"[{""ts"": 1758423000000, ""price"": 23.38, ""qty"": 2180.2162399524136, ""tag"": ""ENTRY""}, {""ts"": 1758423900000, ""price"": 23.33414691126535, ""qty"": 2180.2162399524136, ""tag"": ""SL""}]"
LINK/USDT,5m,1758435000000,23.47000000,2586.74692387,1758435600000,23.43134943,-221.30115334,-0.3645,-2.2130,"[{""ts"": 1758435000000, ""price"": 23.47, ""qty"": 2586.746923870031, ""tag"": ""ENTRY""}, {""ts"": 1758435600000, ""price"": 23.431349434284517, ""qty"": 2586.746923870031, ""tag"": ""SL""}]"
