symbol,timeframe,entry_ts,entry_price,entry_qty,exit_ts,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,fills_json
SOL/USDT,5m,1758382200000,240.83000000,79.81600511,1758383100000,240.21128429,-87.77821018,-0.4567,-1.7556,"[{""ts"": 1758382200000, ""price"": 240.83, ""qty"": 79.81600510580427, ""tag"": ""ENTRY""}, {""ts"": 1758383100000, ""price"": 240.21128428613164, ""qty"": 79.81600510580427, ""tag"": ""SL""}]"
LINK/USDT,5m,1758387900000,23.45000000,589.27404424,1758388200000,23.36527782,-77.51160952,-0.5609,-1.5502,"[{""ts"": 1758387900000, ""price"": 23.45, ""qty"": 589.2740442363538, ""tag"": ""ENTRY""}, {""ts"": 1758388200000, ""price"": 23.36527782037275, ""qty"": 589.2740442363538, ""tag"": ""SL""}]"
LINK/USDT,5m,1758404100000,23.42000000,1026.09908200,1758405600000,23.37130585,-97.97754326,-0.4077,-1.9596,"[{""ts"": 1758404100000, ""price"": 23.42, ""qty"": 1026.099082003601, ""tag"": ""ENTRY""}, {""ts"": 1758405600000, ""price"": 23.371305845449154, ""qty"": 1026.099082003601, ""tag"": ""SL""}]"
LINK/USDT,5m,1758413700000,23.37000000,1138.48136241,1758414600000,23.32611072,-103.12978079,-0.3876,-2.0626,"[{""ts"": 1758413700000, ""price"": 23.37, ""qty"": 1138.4813624135195, ""tag"": ""ENTRY""}, {""ts"": 1758414600000, ""price"": 23.326110718460942, ""qty"": 1138.4813624135195, ""tag"": ""SL""}]"
LINK/USDT,5m,1758416100000,23.42000000,872.67283831,1758418200000,23.36274309,-90.79258123,-0.4442,-1.8159,"[{""ts"": 1758416100000, ""price"": 23.42, ""qty"": 872.6728383135389, ""tag"": ""ENTRY""}, {""ts"": 1758418200000, ""price"": 23.362743087851555, ""qty"": 872.6728383135389, ""tag"": ""SL""}]"
LINK/USDT,5m,1758423000000,23.38000000,726.08725517,1758427500000,23.31122037,-83.84191505,-0.4939,-1.6768,"[{""ts"": 1758423000000, ""price"": 23.38, ""qty"": 726.0872551701673, ""tag"": ""ENTRY""}, {""ts"": 1758427500000, ""price"": 23.311220366898027, ""qty"": 726.0872551701673, ""tag"": ""SL""}]"
LINK/USDT,5m,1758435000000,23.47000000,861.92322888,1758436200000,23.41202415,-90.37943623,-0.4468,-1.8076,"[{""ts"": 1758435000000, ""price"": 23.47, ""qty"": 861.923228883025, ""tag"": ""ENTRY""}, {""ts"": 1758436200000, ""price"": 23.41202415142678, ""qty"": 861.923228883025, ""tag"": ""SL""}]"
