score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,2,187.45,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,179.12,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,191.61,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,187.45,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,179.12,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,189.62,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,184.26,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,173.54,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,189.62,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,184.26,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,173.54,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.9,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,165.7,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,163.3,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.2,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,191.61,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,187.45,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,179.12,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,191.61,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,187.45,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,179.12,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,168.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,2.5,0.4,0.3,0.3,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.91,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,161.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.39,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.91,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,161.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.39,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.76,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,149.36,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,144.57,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.91,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,161.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.39,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,166.91,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,161.74,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.39,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,151.76,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,149.36,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,144.57,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.2,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,185.65,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.5,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,177.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.5,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.37,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.5,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,185.65,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.8,0.2,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,177.89,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.8,0.3,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.37,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,0.8,0.5,BTC/USDT;ETH/USDT;SOL/USDT
-1000000000.0,2,162.92,inf,100.0,0.0,15m,50,200,0.3,1.0,0.8,1.5,3.0,0.4,0.3,0.2,1.2,0.2,BTC/USDT;ETH/USDT;SOL/USDT
