symbol,n_trades,PnL_USDT,ProfitFactor,Winrate_%,R_avg,R_med,Hold_min_avg
BNB/USDT,1.0,34.91945296,inf,100.0,0.6984,0.6984,105.0
ETH/USDT,1.0,19.82253315,inf,100.0,0.3965,0.3965,180.0
