symbol,timeframe,entry_ts,entry_price,entry_qty,exit_ts,exit_price_wap,pnl_usdt,pnl_pct,r_multiple,fills_json
SOL/USDT,15m,1758144600000,238.78000000,14.96550096,1758150900000,242.75145101,52.22839449,1.4616,1.0446,"[{""ts"": 1758144600000, ""price"": 238.78, ""qty"": 14.9655009573383, ""tag"": ""ENTRY""}, {""ts"": 1758146400000, ""price"": 240.87023737337586, ""qty"": 5.98620038293532, ""tag"": ""TP1""}, {""ts"": 1758146400000, ""price"": 242.96047474675171, ""qty"": 4.489650287201489, ""tag"": ""TP2""}, {""ts"": 1758150000000, ""price"": 245.05071212012757, ""qty"": 4.489650287201489, ""tag"": ""TP3""}, {""ts"": 1758150900000, ""price"": 244.6638, ""qty"": 1.7763568394002505e-15, ""tag"": ""TRAIL""}]"
SOL/USDT,15m,1758427200000,241.78000000,51.88040332,1758429000000,240.83070882,-74.28764747,-0.5922,-1.4858,"[{""ts"": 1758427200000, ""price"": 241.78, ""qty"": 51.88040331877277, ""tag"": ""ENTRY""}, {""ts"": 1758429000000, ""price"": 240.8307088207155, ""qty"": 51.88040331877277, ""tag"": ""SL""}]"
