score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,1,70.2150621556749,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,70.2150621556749,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,70.2150621556749,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,70.2150621556749,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.4,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,63.357013221919914,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.4,BNB/USDT
-1000000000.0,1,111.72538965288777,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,107.73981610877988,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,103.75424256468105,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,111.72538965288777,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,107.73981610877988,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,103.75424256468105,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,111.72538965288777,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,107.73981610877988,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,103.75424256468105,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.4,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.2,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.3,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.4,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.2,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.3,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.4,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.2,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.3,BNB/USDT
-1000000000.0,1,99.60670044322345,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.4,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,73.15422598443158,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.4,BNB/USDT
